Videos,Code_I,Code_II,Code_III,Code_IV,Notes about movement vs static object,hand movement code was present,object code was present,hand but not object,incorrect orientation/no hand movement code
z185-sep-09-22-marius_assemble_start_148.315_end_158.715.mp4,Interjection,Changing angle between pieces ,Incorrect subcomponent orientation,,object movement,TRUE,TRUE,FALSE,TRUE
z136-aug-13-22-marius_assemble_start_19.129_end_26.247.mp4,Retract from wrong reach,,,,NaN,TRUE,FALSE,TRUE,TRUE
z057-june-28-22-rashult_assemble_start_1044.082_end_1050.641.mp4,Missing Tool,,,,NaN,FALSE,FALSE,FALSE,FALSE
z096-july-12-22-marius_assemble_start_106.3_end_113.9.mp4,Warning For Future,,,,NaN,FALSE,FALSE,FALSE,FALSE
z191-sep-11-22-rashult_assemble_start_630.0_end_639.9.mp4,Slow Movement,,,,NaN,FALSE,FALSE,FALSE,FALSE
z051-june-27-22-knarrevik_assemble_start_68.4_end_76.069.mp4,Incorrect subcomponent placement,,,,object movement,FALSE,TRUE,FALSE,FALSE
z138-aug-15-22-marius_assemble_start_101.845_end_112.349.mp4,Inconvenient subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z185-sep-09-22-knarrevik_assemble_start_129.279_end_137.626.mp4,Inconvenient subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z064-june-29-22-gladom_assemble_start_192.792_end_202.01148977880032.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z017-june-20-22-rashult_assemble_start_845.505_end_852.358.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z084-july-06-22-marius_assemble_start_108.31960812255078_end_116.2716081225508.mp4,Incorrect subcomponent orientation,,,,object movement,FALSE,TRUE,FALSE,FALSE
z036-june-23-22-knarrevik_assemble_start_17.68_end_28.99.mp4,Small 1D Gaze Shift,Pitch 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z074-july-01-22-rashult_assemble_start_739.1_end_749.002.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z051-june-27-22-rashult_assemble_start_137.3_end_146.2.mp4,Incorrect subcomponent orientation,Roll 180,,,object movement,TRUE,TRUE,FALSE,TRUE
z161-aug-29-22-rashult_assemble_start_424.3_end_432.3.mp4,Incorrect subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z035-june-23-22-marius_assemble_start_14.2_end_23.7.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z025-june-21-22-knarrevik_assemble_start_12.3_end_25.539.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z014-june-17-22-gladom_assemble_start_106.22_end_114.5.mp4,Pause full hand,Pitch 360,,,NaN,TRUE,FALSE,TRUE,TRUE
z185-sep-09-22-marius_assemble_start_307.876_end_316.476.mp4,Incorrect subcomponent orientation,,,,error,FALSE,TRUE,FALSE,FALSE
z096-july-12-22-marius_assemble_start_135.21_end_152.41.mp4,Incorrect subcomponent orientation,,,,both,FALSE,TRUE,FALSE,FALSE
z194-sep-16-22-marius_assemble_start_182.104_end_191.553.mp4,Moving farther back,,,,NaN,FALSE,FALSE,FALSE,FALSE
z106-july-14-22-rashult_assemble_start_21.4_end_29.388.mp4,Comment,,,,NaN,FALSE,FALSE,FALSE,FALSE
z081-july-06-22-marius_assemble_start_39.2_end_46.371.mp4,Reaching towards wrong piece ,,,,NaN,TRUE,FALSE,TRUE,TRUE
z015-june-17-22-gladom_assemble_start_123.1_end_130.90980393131795.mp4,Inconvenient subcomponent placement,Incorrect subcomponent orientation,,,error,FALSE,TRUE,FALSE,FALSE
z201-sep-22-22-rashult_assemble_start_1101.059_end_1107.859.mp4,Incomplete Step,,,,object movement,FALSE,TRUE,FALSE,FALSE
z030-june-22-22-gladom_assemble_start_39.886_end_48.3.mp4,Shifting alignment,,,,NaN,TRUE,FALSE,TRUE,TRUE
z025-june-21-22-knarrevik_assemble_start_45.12_end_52.745.mp4,Pause full hand,Incorrect subcomponent placement,,,object movement,FALSE,TRUE,FALSE,FALSE
z150-aug-22-22-rashult_assemble_start_137.234_end_144.8.mp4,No apparent Cue,,,,NaN,FALSE,FALSE,FALSE,FALSE
z169-sep-02-22-rashult_assemble_start_14.640999999999998_end_24.613.mp4,Pitch 180,Roll 90 ,Retract from right contact,,NaN,TRUE,FALSE,TRUE,TRUE
z169-sep-02-22-rashult_assemble_start_617.424_end_625.141.mp4,Incorrect subcomponent placement,,,,error,FALSE,TRUE,FALSE,FALSE
z185-sep-09-22-marius_assemble_start_260.682_end_271.582.mp4,Pick-up wrong piece,Pause full hand,,,NaN,TRUE,FALSE,TRUE,TRUE
z138-aug-15-22-marius_assemble_start_165.367_end_175.951.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z194-sep-16-22-knarrevik_assemble_start_15.100000000000001_end_22.641.mp4,Pitch 180,Roll 90 ,,,NaN,TRUE,FALSE,TRUE,TRUE
z150-aug-22-22-rashult_assemble_start_586.029_end_591.366.mp4,Pause empty hand,,,,NaN,FALSE,FALSE,FALSE,FALSE
z053-june-27-22-rashult_assemble_start_459.051_end_467.186.mp4,Fixate on piece,Looking away,,,NaN,FALSE,FALSE,FALSE,FALSE
z048-june-25-22-marius_assemble_start_148.2_end_156.4.mp4,Warning For Future,,,,NaN,FALSE,FALSE,FALSE,FALSE
z019-june-20-22-rashult_assemble_start_902.175_end_909.625.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z108-july-26-22-marius_assemble_start_33.38_end_39.586.mp4,Incorrect subcomponent orientation,Pick-up wrong piece,,,both,TRUE,TRUE,FALSE,TRUE
z053-june-27-22-gladom_assemble_start_246.2_end_252.945.mp4,Inconvenient subcomponent placement,,,,Neither,FALSE,TRUE,FALSE,FALSE
z113-aug-03-22-rashult_assemble_start_65.759_end_75.588.mp4,Pause full hand,Retract from wrong contact,,,NaN,TRUE,FALSE,TRUE,TRUE
z101-july-13-22-rashult_assemble_start_181.3_end_187.8.mp4,Roll 90 ,Pitch 90 ,Yaw 90,,NaN,TRUE,FALSE,TRUE,TRUE
z038-june-23-22-rashult_assemble_start_175.622_end_182.625.mp4,Retracting with the right piece ,Pitch 180,,,NaN,TRUE,FALSE,TRUE,TRUE
z023-june-21-22-gladom_assemble_start_38.1_end_49.1.mp4,Incorrect subcomponent orientation,Touching pieces together,,,object movement,TRUE,TRUE,FALSE,TRUE
z024-june-21-22-rashult_assemble_start_470.543_end_480.4.mp4,Reaching towards wrong piece ,Looking around,,,NaN,TRUE,FALSE,TRUE,TRUE
z023-june-21-22-marius_assemble_start_19.91_end_27.41.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
z157-aug-27-22-marius_assemble_start_74.878_end_81.103.mp4,Pick-up wrong piece,,,,NaN,TRUE,FALSE,TRUE,TRUE
