Level2,Codes
expressive cues ,empty-handed palm-up
expressive cues ,full-handed palm-up
expressive cues ,pointing
expressive cues ,interjection 
task-embedded cues ,A1-Small gaze shift
task-embedded cues ,A1-Large gaze shift
task-embedded cues ,A1-Bringing head closer 
task-embedded cues ,A1-Taking a step back 
task-embedded cues ,A1-Looking around 
task-embedded cues ,A1-Looking away
task-embedded cues ,A2-Shaking
task-embedded cues ,A2-Rotation
task-embedded cues ,A2-Relative bimanual shifts  
task-embedded cues ,A2-Bringing part closer 
task-embedded cues ,A2-Push part away
task-embedded cues ,A2-Slow hesitant movements
task-embedded cues ,A3-Empty-handed pause 
task-embedded cues ,A3-Full-handed pause 
task-embedded cues ,B1-Reaching toward wrong piece
task-embedded cues ,B1-Retracting from wrong reach 
task-embedded cues ,B1-Retracting from right reach 
task-embedded cues ,B1-Retracting from wrong contact
task-embedded cues ,B1-Retracting from right contact
task-embedded cues ,B2-Reaching with wrong orientation 
task-embedded cues ,B2-Retracting with right piece 
task-embedded cues ,B3-Grasp wrong piece
task-embedded cues ,B3-Erroneous intermediate state 
task-embedded cues ,B3-Inconvenient intermediate state 
task-embedded cues ,B4-Erroneous intermediate state 
task-embedded cues ,B4-Inconvenient intermediate state 
task-embedded cues ,B5-Grasp wrong tool 
task-embedded cues ,B5-Missing useful tool 
